ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
223751_x_at	0.791	0.0007504	3.80620095	-2.06	0.4950	TLR10	toll like receptor 10
226956_at	0.791	0.0007562	3.80323266	-2.06	0.5060	MTMR3	myotubularin related protein 3
205988_at	0.791	0.0008013	3.78098128	-2.09	0.3420	CD84	CD84 molecule
206693_at	0.791	0.0008393	3.76319344	-2.11	0.7450	IL7	interleukin 7
240806_at	0.791	0.0008805	3.74478274	-2.13	0.4210	RPL15	ribosomal protein L15
229691_at	0.791	0.0009025	3.73530962	-2.14	0.3090	ZBTB42	zinc finger and BTB domain containing 42
211640_x_at	0.791	0.0009193	-3.72819631	-2.15	-0.6170	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
230572_at	0.791	0.0009656	3.7092521	-2.17	0.3130	WWC2-AS2	WWC2 antisense RNA 2
1568802_at	0.791	0.0009667	3.7088158	-2.17	0.2210		
209469_at	0.791	0.0009745	3.70574217	-2.17	1.0500	GPM6A	glycoprotein M6A
207163_s_at	0.791	0.0010146	3.6901945	-2.19	0.2940	AKT1	AKT serine/threonine kinase 1
235839_at	0.791	0.0010166	3.68943665	-2.19	0.4810	C22orf34	chromosome 22 open reading frame 34
220178_at	0.791	0.0010403	3.68054738	-2.2	0.2570	MFSD12	major facilitator superfamily domain containing 12
235244_at	0.791	0.0011389	3.6455483	-2.24	0.4810	CCDC58	coiled-coil domain containing 58
236921_at	0.791	0.0011499	3.6418275	-2.24	0.5390		
209431_s_at	0.791	0.0011683	3.63567633	-2.25	0.3990	PATZ1	POZ/BTB and AT hook containing zinc finger 1
217157_x_at	0.791	0.0011697	-3.63522146	-2.25	-0.7650	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
239064_at	0.791	0.0011779	3.63250303	-2.25	0.4870		
224671_at	0.791	0.0011889	-3.62890556	-2.26	-0.2010	MRPL10	mitochondrial ribosomal protein L10
206096_at	0.791	0.0012128	-3.62120745	-2.27	-0.2350	ZNF35	zinc finger protein 35
226002_at	0.791	0.0012628	-3.60553096	-2.28	-0.7020	GAB1	GRB2 associated binding protein 1
1558167_a_at	0.791	0.0013362	3.58362207	-2.31	0.2430	MGC16275	uncharacterized protein MGC16275
202341_s_at	0.791	0.0013643	3.57552347	-2.32	0.4810	TRIM2	tripartite motif containing 2
216576_x_at	0.791	0.0013825	-3.57037532	-2.32	-0.9020	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
223866_at	0.791	0.0013906	-3.5681216	-2.33	-0.2230	ARMC2	armadillo repeat containing 2
39249_at	0.791	0.0014031	-3.56462519	-2.33	-0.4900	AQP3	aquaporin 3 (Gill blood group)
225802_at	0.791	0.0014342	3.55610766	-2.34	0.5050	TOP1MT	topoisomerase (DNA) I, mitochondrial
216401_x_at	0.791	0.0014912	-3.54093584	-2.36	-0.7420	MLIP	muscular LMNA-interacting protein
229762_at	0.791	0.0015477	3.52642904	-2.37	0.4310		
230782_at	0.791	0.0015796	3.51848898	-2.38	0.4220	SORD	sorbitol dehydrogenase
218033_s_at	0.791	0.001631	3.50599357	-2.39	0.4530	SNN	stannin
244370_at	0.791	0.0016475	3.50204537	-2.4	0.4460	KIAA2022	KIAA2022
203169_at	0.791	0.0016558	3.50009699	-2.4	0.3220	RGP1	RGP1 homolog, RAB6A GEF complex partner 1
228372_at	0.791	0.0016968	3.49052741	-2.41	0.9040	C10orf128	chromosome 10 open reading frame 128
215176_x_at	0.791	0.0017204	-3.48513363	-2.42	-0.7170	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
1554185_at	0.791	0.0017423	3.48018186	-2.42	0.2450	LOC554206	leucine carboxyl methyltransferase 1 pseudogene
207401_at	0.791	0.0017533	-3.47771181	-2.43	-0.1850	PROX1	prospero homeobox 1
217480_x_at	0.791	0.001766	-3.4749073	-2.43	-0.8040	IGKV1OR2-118	immunoglobulin kappa variable 1/OR2-118 (pseudogene)
235063_at	0.791	0.0017772	3.47242702	-2.43	0.1690	C20orf196	chromosome 20 open reading frame 196
209808_x_at	0.791	0.0018099	3.46528596	-2.44	0.2730	ING1	inhibitor of growth family member 1
1569876_at	0.791	0.0018233	3.46239311	-2.44	0.2220	EFCAB13	EF-hand calcium binding domain 13
217378_x_at	0.791	0.0018794	-3.45052324	-2.46	-0.7720	IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional)
219922_s_at	0.791	0.001915	3.44316231	-2.46	0.5110	LTBP3	latent transforming growth factor beta binding protein 3
226796_at	0.791	0.0019828	3.42950443	-2.48	0.4130	ABHD15	abhydrolase domain containing 15
213521_at	0.791	0.0019967	3.426755	-2.48	0.3100	PTPN18	protein tyrosine phosphatase, non-receptor type 18
238026_at	0.791	0.0020216	3.42189275	-2.49	0.5030	RPL35A	ribosomal protein L35a
229394_s_at	0.791	0.0022859	3.37351963	-2.54	0.3790	ARHGAP35	Rho GTPase activating protein 35
210350_x_at	0.791	0.0022904	3.37274463	-2.54	0.3020	ING1	inhibitor of growth family member 1
210987_x_at	0.791	0.0023085	3.36962213	-2.55	0.2770	TPM1	tropomyosin 1 (alpha)
1555063_at	0.791	0.002324	3.3669832	-2.55	0.1800	USP32///USP6	ubiquitin specific peptidase 32///ubiquitin specific peptidase 6
215574_at	0.791	0.0023297	3.36602698	-2.55	0.4120		
212592_at	0.791	0.002389	-3.35610004	-2.56	-0.7540	JCHAIN	joining chain of multimeric IgA and IgM
203676_at	0.791	0.0024102	-3.35260453	-2.57	-0.3030	GNS	glucosamine (N-acetyl)-6-sulfatase
224645_at	0.791	0.0024122	3.35226992	-2.57	0.2750	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2
243154_at	0.791	0.0024924	3.33933897	-2.58	0.5420		
208724_s_at	0.791	0.0025135	-3.33601178	-2.58	-0.3860	RAB1A	RAB1A, member RAS oncogene family
211645_x_at	0.791	0.0025389	-3.33203043	-2.59	-0.8480		
228308_at	0.791	0.0025445	-3.3311622	-2.59	-0.7360	FKBP11	FK506 binding protein 11
225535_s_at	0.791	0.0025985	-3.32283756	-2.6	-0.3750	TIMM23B///TIMM23	translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23
211634_x_at	0.791	0.0026007	-3.32250515	-2.6	-0.6650	IGHM	immunoglobulin heavy constant mu
212857_x_at	0.791	0.0026334	-3.31755237	-2.6	-0.4180	SUB1	SUB1 homolog, transcriptional regulator
228055_at	0.791	0.0026486	3.31527156	-2.61	0.3340	NAPSB	napsin B aspartic peptidase, pseudogene
203857_s_at	0.791	0.0027212	-3.3045439	-2.62	-1.4000	MIR7110///PDIA5	microRNA 7110///protein disulfide isomerase family A member 5
209773_s_at	0.791	0.0027527	-3.29998235	-2.62	-2.4100	RRM2	ribonucleotide reductase regulatory subunit M2
225102_at	0.791	0.0027929	-3.29421688	-2.63	-0.5560	MGLL	monoglyceride lipase
214620_x_at	0.791	0.0028015	-3.29299576	-2.63	-0.2820	PAM	peptidylglycine alpha-amidating monooxygenase
201923_at	0.791	0.0028118	-3.29153743	-2.63	-0.9890	PRDX4	peroxiredoxin 4
225897_at	0.791	0.0028229	3.28997647	-2.63	0.6450	MARCKS	myristoylated alanine rich protein kinase C substrate
236474_at	0.791	0.0028316	3.28875915	-2.64	0.3390		
41856_at	0.791	0.0028326	-3.28860769	-2.64	-0.1880	UNC5B	unc-5 netrin receptor B
232610_at	0.791	0.0028492	-3.28629131	-2.64	-0.2460	PARP14	poly(ADP-ribose) polymerase family member 14
221671_x_at	0.791	0.0028565	-3.28527447	-2.64	-0.2470	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
1570320_at	0.791	0.0028734	-3.28292855	-2.64	-0.1590		
216207_x_at	0.791	0.0028859	-3.28120396	-2.64	-0.7280	IGKC	immunoglobulin kappa constant
201543_s_at	0.791	0.0028971	-3.27966414	-2.65	-0.9810	SAR1A	secretion associated Ras related GTPase 1A
218854_at	0.791	0.0029131	3.27747195	-2.65	1.1300	DSE	dermatan sulfate epimerase
206180_x_at	0.791	0.0029499	-3.27246974	-2.65	-0.2180	ZNF747	zinc finger protein 747
209470_s_at	0.791	0.002981	3.26830034	-2.66	1.0400	GPM6A	glycoprotein M6A
210258_at	0.791	0.0029892	-3.26720264	-2.66	-0.6070	RGS13	regulator of G-protein signaling 13
201890_at	0.791	0.0030096	-3.26450581	-2.66	-2.1500	RRM2	ribonucleotide reductase regulatory subunit M2
1598_g_at	0.791	0.0030307	-3.2617131	-2.67	-0.4820	GAS6	growth arrest specific 6
230803_s_at	0.791	0.003079	3.25541033	-2.67	0.8400	ARHGAP24	Rho GTPase activating protein 24
1552682_a_at	0.791	0.0030816	-3.25508523	-2.67	-0.2380	KNL1	kinetochore scaffold 1
201528_at	0.791	0.0030886	3.25417727	-2.67	0.2880	RPA1	replication protein A1
223422_s_at	0.791	0.0031128	3.25105774	-2.68	0.7570	ARHGAP24	Rho GTPase activating protein 24
212547_at	0.791	0.0031386	3.24776607	-2.68	0.3500	BRD3	bromodomain containing 3
216541_x_at	0.791	0.0031467	-3.24674799	-2.68	-0.4930	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
1552807_a_at	0.791	0.0031591	3.24517517	-2.68	0.4840	SIGLEC10	sialic acid binding Ig like lectin 10
205692_s_at	0.791	0.0031747	-3.24320912	-2.69	-1.7000	CD38	CD38 molecule
202589_at	0.791	0.0032032	-3.23964506	-2.69	-1.9200	TYMS	thymidylate synthetase
226816_s_at	0.791	0.0032401	3.23506893	-2.7	0.3400	KIAA1143	KIAA1143
201694_s_at	0.791	0.0032807	3.23009984	-2.7	1.0300	EGR1	early growth response 1
224983_at	0.791	0.0033268	-3.224515	-2.71	-0.5090	SCARB2	scavenger receptor class B member 2
201372_s_at	0.791	0.0033399	3.22294074	-2.71	0.7090	CUL3	cullin 3
214703_s_at	0.791	0.0033422	3.2226728	-2.71	0.2870	MAN2B2	mannosidase alpha class 2B member 2
208959_s_at	0.791	0.0033701	-3.21935177	-2.71	-0.3120	ERP44	endoplasmic reticulum protein 44
225202_at	0.791	0.0034143	3.21413456	-2.72	0.5540	RHOBTB3	Rho related BTB domain containing 3
229874_x_at	0.791	0.0034304	3.21225051	-2.72	0.3230	LOC105376805	uncharacterized LOC105376805
207722_s_at	0.791	0.0034511	3.20983803	-2.72	0.2330	BTBD2	BTB domain containing 2
224799_at	0.791	0.003484	-3.20604454	-2.73	-0.3340	NDFIP2	Nedd4 family interacting protein 2
224586_x_at	0.791	0.0034884	-3.20553742	-2.73	-0.4090	SUB1	SUB1 homolog, transcriptional regulator
210105_s_at	0.791	0.0034943	3.20486696	-2.73	0.3820	FYN	FYN proto-oncogene, Src family tyrosine kinase
228918_at	0.791	0.0035059	3.20353618	-2.73	0.2940	SLC43A2	solute carrier family 43 member 2
228959_at	0.791	0.0035245	3.2014164	-2.73	0.3630	PDK3	pyruvate dehydrogenase kinase 3
226099_at	0.791	0.0035256	-3.20128692	-2.73	-1.3500	ELL2	elongation factor for RNA polymerase II 2
209685_s_at	0.791	0.0035259	3.20125994	-2.73	0.2380	PRKCB	protein kinase C beta
228486_at	0.791	0.0035298	-3.20081744	-2.73	-1.2200	SLC44A1	solute carrier family 44 member 1
235072_s_at	0.791	0.0035451	3.19907712	-2.74	0.7070	KIF13A	kinesin family member 13A
224847_at	0.791	0.0035874	-3.19432261	-2.74	-0.5250	CDK6	cyclin dependent kinase 6
225998_at	0.791	0.003617	-3.19103088	-2.74	-0.7300	GAB1	GRB2 associated binding protein 1
1562674_at	0.791	0.003733	-3.17836096	-2.76	-0.2930		
229597_s_at	0.791	0.0038117	3.16998372	-2.77	0.3390	WDFY4	WDFY family member 4
205861_at	0.791	0.0038344	3.16759628	-2.77	0.4810	SPIB	Spi-B transcription factor
206687_s_at	0.791	0.0038475	3.16622291	-2.77	0.3490	PTPN6	protein tyrosine phosphatase, non-receptor type 6
221760_at	0.791	0.0038783	-3.16301313	-2.77	-0.9330	MAN1A1	mannosidase alpha class 1A member 1
236546_at	0.791	0.0038969	3.16108983	-2.78	0.2250	POLA2	DNA polymerase alpha 2, accessory subunit
225126_at	0.791	0.0039078	-3.15996415	-2.78	-0.2220	MRRF	mitochondrial ribosome recycling factor
201513_at	0.791	0.003956	3.15503616	-2.78	0.3360	TSN	translin
232739_at	0.791	0.0039692	3.15369304	-2.79	0.2910	SPIB	Spi-B transcription factor
220000_at	0.791	0.0039703	3.1535832	-2.79	0.4230	SIGLEC5	sialic acid binding Ig like lectin 5
225795_at	0.791	0.003972	3.15341319	-2.79	0.5450	SMDT1	single-pass membrane protein with aspartate rich tail 1
225725_at	0.791	0.0041134	3.1393168	-2.8	0.4570	ZMAT3	zinc finger matrin-type 3
218309_at	0.791	0.004128	3.13789019	-2.8	0.7350	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1
236459_at	0.791	0.0041866	3.13220157	-2.81	0.5280	PRKCE	protein kinase C epsilon
211048_s_at	0.791	0.0041988	-3.13103056	-2.81	-1.0100	PDIA4	protein disulfide isomerase family A member 4
225098_at	0.791	0.0042001	3.13090603	-2.81	0.3750	ABI2	abl-interactor 2
222526_at	0.791	0.0042161	3.12937402	-2.81	0.2520	GATAD2A	GATA zinc finger domain containing 2A
226841_at	0.791	0.0042454	3.12657211	-2.82	0.5890	MPEG1	macrophage expressed 1
223915_at	0.791	0.0042462	3.12650132	-2.82	0.4790	BCOR	BCL6 corepressor
242927_at	0.791	0.0042463	3.12649377	-2.82	0.3760	DCLRE1C	DNA cross-link repair 1C
235830_at	0.791	0.0043132	3.12017386	-2.82	0.2710	NT5DC1	'5''-nucleotidase domain containing 1'
241812_at	0.791	0.0043327	-3.11835029	-2.82	-0.2320	SPATS2L	spermatogenesis associated serine rich 2 like
1556888_at	0.791	0.0043401	3.11766342	-2.82	0.2130		
235117_at	0.791	0.004354	-3.11637694	-2.83	-1.0700	CHAC2	ChaC cation transport regulator homolog 2
209679_s_at	0.791	0.0043636	3.11548017	-2.83	0.4640	SMAGP	small cell adhesion glycoprotein
230802_at	0.791	0.0044	3.11212777	-2.83	0.9640	ARHGAP24	Rho GTPase activating protein 24
212196_at	0.791	0.0044137	-3.11086914	-2.83	-0.5110	IL6ST	interleukin 6 signal transducer
208116_s_at	0.791	0.004425	-3.10983428	-2.83	-1.1100	MAN1A1	mannosidase alpha class 1A member 1
227476_at	0.791	0.0044317	3.10921859	-2.83	0.4690	LPGAT1	lysophosphatidylglycerol acyltransferase 1
1559495_at	0.791	0.0044626	-3.10641089	-2.84	-0.1770		
212195_at	0.791	0.004534	-3.09998677	-2.84	-0.4860	IL6ST	interleukin 6 signal transducer
238075_at	0.791	0.0045775	-3.09612419	-2.85	-0.2730	CHEK1	checkpoint kinase 1
233958_at	0.791	0.0045787	-3.09601272	-2.85	-0.1790		
237849_at	0.791	0.0045951	-3.0945707	-2.85	-1.0500		
216905_s_at	0.791	0.0046236	3.09206439	-2.85	0.5960	ST14	suppression of tumorigenicity 14
217227_x_at	0.791	0.0046571	-3.08913591	-2.86	-0.8450	IGLV1-44	immunoglobulin lambda variable 1-44
1563369_at	0.791	0.004725	-3.08326554	-2.86	-0.3280	LINC00173	long intergenic non-protein coding RNA 173
214508_x_at	0.791	0.0047298	-3.08285857	-2.86	-0.2360	CREM	cAMP responsive element modulator
226179_at	0.791	0.0047473	3.08136238	-2.86	0.3950	SLC25A37	solute carrier family 25 member 37
243254_at	0.791	0.0047485	-3.08125757	-2.86	-0.1550	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
219394_at	0.791	0.0047991	3.07695905	-2.87	0.1660	PGS1	phosphatidylglycerophosphate synthase 1
212097_at	0.791	0.0048324	-3.07414501	-2.87	-1.5200	CAV1	caveolin 1
228762_at	0.791	0.0048345	3.07397524	-2.87	0.3400	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
239292_at	0.791	0.0048808	3.07010538	-2.88	0.5990		
243590_at	0.791	0.0048963	-3.06881346	-2.88	-0.2610		
1554696_s_at	0.791	0.0048969	-3.06876436	-2.88	-0.6970	TYMS	thymidylate synthetase
228033_at	0.791	0.0049136	-3.06738551	-2.88	-0.3590	E2F7	E2F transcription factor 7
223625_at	0.791	0.0049271	-3.06627096	-2.88	-0.5480	FAM126A	family with sequence similarity 126 member A
219247_s_at	0.791	0.0049752	3.06231797	-2.89	0.3910	ZDHHC14	zinc finger DHHC-type containing 14
224700_at	0.791	0.0049784	-3.06205775	-2.89	-0.3920	STT3B	STT3B, catalytic subunit of the oligosaccharyltransferase complex
243011_at	0.791	0.0049838	-3.06161649	-2.89	-0.5140	NXPE3	neurexophilin and PC-esterase domain family member 3
218254_s_at	0.791	0.0049953	-3.06067708	-2.89	-1.1800	SAR1B	secretion associated Ras related GTPase 1B
209152_s_at	0.791	0.0049971	-3.06053745	-2.89	-0.3880	TCF3	transcription factor 3
226850_at	0.791	0.0050142	3.05914172	-2.89	0.2980	SUMF1	sulfatase modifying factor 1
224630_at	0.791	0.005027	-3.05811087	-2.89	-0.8110	ERLEC1	endoplasmic reticulum lectin 1
203957_at	0.791	0.0050504	-3.0562208	-2.89	-0.2720	E2F6	E2F transcription factor 6
211798_x_at	0.791	0.0050587	-3.05554985	-2.89	-0.6150	IGLJ3	immunoglobulin lambda joining 3
206176_at	0.791	0.0050596	-3.05548218	-2.89	-0.3800	BMP6	bone morphogenetic protein 6
225935_at	0.791	0.0051064	3.05172978	-2.9	0.3010	CUX1	cut like homeobox 1
223228_at	0.791	0.0051433	3.04880131	-2.9	0.3070	LDOC1L	leucine zipper down-regulated in cancer 1 like
214836_x_at	0.791	0.0052097	-3.04357733	-2.91	-0.3380	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
216365_x_at	0.791	0.0052223	-3.042598	-2.91	-0.6610	IGLJ3///CKAP2	immunoglobulin lambda joining 3///cytoskeleton associated protein 2
219104_at	0.791	0.0052276	3.04218116	-2.91	0.5050	RNF141	ring finger protein 141
227396_at	0.791	0.0052933	3.03709023	-2.91	0.4830	PTPRJ	protein tyrosine phosphatase, receptor type J
210385_s_at	0.791	0.005321	-3.03496537	-2.92	-1.0500	ERAP1	endoplasmic reticulum aminopeptidase 1
215946_x_at	0.791	0.0053528	-3.0325339	-2.92	-0.4020	IGLL3P	immunoglobulin lambda like polypeptide 3, pseudogene
222041_at	0.791	0.0053767	3.0307144	-2.92	0.2410	OVCA2///DPH1	ovarian tumor suppressor candidate 2///diphthamide biosynthesis 1
1566337_x_at	0.791	0.0053815	3.03035543	-2.92	0.2440	CHML	CHM like, Rab escort protein 2
201398_s_at	0.791	0.0053872	-3.02992422	-2.92	-0.2830	TRAM1	translocation associated membrane protein 1
217189_s_at	0.791	0.0053983	-3.02907876	-2.92	-0.2410	SMG7	SMG7, nonsense mediated mRNA decay factor
203208_s_at	0.791	0.0054338	-3.02640618	-2.92	-0.3940	MTFR1	mitochondrial fission regulator 1
232092_at	0.791	0.0054397	-3.02596355	-2.93	-0.2770	SLC25A51	solute carrier family 25 member 51
220495_s_at	0.791	0.0054783	-3.02307892	-2.93	-0.6920	TXNDC15	thioredoxin domain containing 15
230172_at	0.791	0.0054811	-3.02287084	-2.93	-0.6060	IFI27L1	interferon alpha inducible protein 27 like 1
206907_at	0.791	0.0054848	3.02259582	-2.93	0.1910	TNFSF9	tumor necrosis factor superfamily member 9
231656_x_at	0.791	0.005507	3.02094199	-2.93	0.4320	OSBPL10	oxysterol binding protein like 10
203588_s_at	0.791	0.0055087	-3.02081393	-2.93	-0.3210	TFDP2	transcription factor Dp-2
218149_s_at	0.791	0.0055284	3.01935817	-2.93	0.4000	ZNF395	zinc finger protein 395
238567_at	0.791	0.0055287	-3.01933608	-2.93	-0.3220	SGPP2	sphingosine-1-phosphate phosphatase 2
213839_at	0.791	0.0055679	3.01645452	-2.94	0.5220	CLMN	calmin
1559507_at	0.791	0.0055826	3.01537517	-2.94	0.3560	LOC100130357	uncharacterized LOC100130357
234764_x_at	0.791	0.0055842	-3.01525555	-2.94	-0.9630	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
236722_at	0.791	0.0056012	-3.0140153	-2.94	-0.3250	LOC100129380	uncharacterized LOC100129380
228220_at	0.791	0.0056374	3.01138099	-2.94	0.5290	FCHO2	FCH domain only 2
204429_s_at	0.791	0.0056649	-3.00939326	-2.94	-0.3270	SLC2A5	solute carrier family 2 member 5
211569_s_at	0.791	0.0057291	3.00478434	-2.95	0.2770	HADH	hydroxyacyl-CoA dehydrogenase
233271_at	0.791	0.0057793	-3.00121089	-2.95	-0.4300		
241954_at	0.791	0.0057804	3.00113599	-2.95	0.4320	FDFT1	farnesyl-diphosphate farnesyltransferase 1
201799_s_at	0.791	0.0058067	-2.99927655	-2.95	-0.4000	OSBP	oxysterol binding protein
201096_s_at	0.791	0.0058274	-2.99782159	-2.96	-1.0400	ARF4	ADP ribosylation factor 4
213501_at	0.791	0.0058504	-2.99620421	-2.96	-0.3720	ACOX1	acyl-CoA oxidase 1
209586_s_at	0.791	0.005869	2.99490207	-2.96	0.2620	PRUNE1	prune exopolyphosphatase
242749_at	0.791	0.0059104	-2.99202515	-2.96	-0.3890		
1553330_at	0.791	0.0059381	2.99010975	-2.96	0.1660	SSMEM1	serine rich single-pass membrane protein 1
200967_at	0.791	0.0060105	-2.98514356	-2.97	-0.6710	PPIB	peptidylprolyl isomerase B
223991_s_at	0.791	0.0060122	-2.98502248	-2.97	-0.5270	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
210184_at	0.791	0.006013	-2.98497039	-2.97	-0.4130	ITGAX	integrin subunit alpha X
225533_at	0.791	0.0060234	-2.98425908	-2.97	-0.2640	PHF19	PHD finger protein 19
216412_x_at	0.791	0.0060634	-2.98154918	-2.97	-0.6280	CKAP2///IGLC1	cytoskeleton associated protein 2///immunoglobulin lambda constant 1
234199_at	0.791	0.0060724	2.98093614	-2.97	0.1570		
225757_s_at	0.791	0.0061044	2.97878329	-2.98	0.4410	CLMN	calmin
224795_x_at	0.791	0.0061066	-2.97863312	-2.98	-0.2120	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
224518_s_at	0.791	0.006144	2.97612685	-2.98	0.4000	ZNF559	zinc finger protein 559
224837_at	0.791	0.0061453	2.97603942	-2.98	0.2780	FOXP1	forkhead box P1
211644_x_at	0.791	0.0061504	-2.97570322	-2.98	-0.8340	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
207677_s_at	0.791	0.0061594	2.9750971	-2.98	0.3050	NCF4	neutrophil cytosolic factor 4
217921_at	0.791	0.0061739	-2.97413636	-2.98	-0.4720	MAN1A2	mannosidase alpha class 1A member 2
225781_at	0.791	0.0061742	2.97411292	-2.98	0.2460	MAPK9	mitogen-activated protein kinase 9
220158_at	0.791	0.0061944	-2.97277325	-2.98	-0.2440	LGALS14	galectin 14
212480_at	0.791	0.0062091	2.9718018	-2.98	0.2530	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like
202262_x_at	0.791	0.0062227	2.9709013	-2.99	0.3380	DDAH2	dimethylarginine dimethylaminohydrolase 2
201859_at	0.791	0.0062288	-2.97049985	-2.99	-0.7570	SRGN	serglycin
209091_s_at	0.791	0.0062758	-2.96740853	-2.99	-0.4000	SH3GLB1	SH3 domain containing GRB2 like endophilin B1
1554444_s_at	0.791	0.0063156	-2.96481511	-2.99	-0.2310	SLC35F6	solute carrier family 35 member F6
219183_s_at	0.791	0.0063264	2.96411127	-2.99	0.2720	CYTH4	cytohesin 4
224342_x_at	0.791	0.0063532	-2.96236882	-2.99	-0.9530	BMS1P20	BMS1, ribosome biogenesis factor pseudogene 20
225605_at	0.791	0.0063622	2.96178715	-3	0.3100	TP53I13	tumor protein p53 inducible protein 13
201351_s_at	0.791	0.0063952	-2.95966073	-3	-0.3360	YME1L1	YME1 like 1 ATPase
202655_at	0.791	0.0064004	-2.95932459	-3	-0.8170	MANF	mesencephalic astrocyte derived neurotrophic factor
243977_at	0.791	0.0064146	2.95841715	-3	0.6530	LOC541472	uncharacterized LOC541472
223308_s_at	0.791	0.0064507	-2.95610541	-3	-0.2670	WDR5	WD repeat domain 5
227808_at	0.791	0.0064981	2.95309496	-3	0.5540	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15
225032_at	0.791	0.0064989	-2.95304086	-3	-1.2100	LOC101928615///FNDC3B	uncharacterized LOC101928615///fibronectin type III domain containing 3B
210144_at	0.791	0.0065043	2.95270041	-3.01	0.2580	TBC1D22A	TBC1 domain family member 22A
217499_x_at	0.791	0.0065161	-2.95195579	-3.01	-0.6770	OR7E37P	olfactory receptor family 7 subfamily E member 37 pseudogene
209610_s_at	0.791	0.0065332	-2.95087652	-3.01	-1.3400	SLC1A4	solute carrier family 1 member 4
228485_s_at	0.791	0.0065413	-2.95036526	-3.01	-0.6160	SLC44A1	solute carrier family 44 member 1
240118_at	0.791	0.006574	-2.94831005	-3.01	-1.4100		
218516_s_at	0.791	0.0065854	-2.94759709	-3.01	-0.5130	IMPAD1	inositol monophosphatase domain containing 1
