			
Gene Symbol	log2(fpkm control)	log2(fpkm case)	p_value
SYPL1	6.10264973381287	6.55882935520479	0.57745
CYB561	4.29104357996862	3.73827064273277	0.23415
SPAG9	5.28395139613162	5.43691804301147	0.7961
CELSR3	0.11805400967667	-0.868199822516684	1
AASS	-0.187557635256929	-1.00777395051444	1
SS18L2	3.92888192708934	2.7348591650876	0.3749
MPND	3.96048390868772	3.90024855011778	0.9399
MGST1	6.21997968730592	7.78501428006661	0.06875
CRY1	3.30638620233414	3.4932246074866	0.84295
PGLYRP1	6.86950131039368	5.94536657842884	0.3233
NFIX	3.66245618317226	1.02362440788254	0.0001
ST3GAL1	5.74999810804479	6.49234192682415	0.29055
MMP25	7.66733156734422	6.96628048641434	0.5193
IL32	7.71847122843582	8.99595083199073	0.14495
PKD1	4.81981121982319	3.87400016581901	0.03965
MAPK8IP2	-5.11796772625924	-6.97082990662141	1
MED24	5.33460402797494	5.28388474167219	0.9087
RHOBTB2	2.84839359314929	1.20451010962219	0.05875
HEATR5B	3.90931228962334	4.44333479453665	0.4156
SEC62	5.90550734994987	5.62686837682571	0.71015
RPS20	7.24616102927149	8.11369529071956	0.28375
CSDE1	8.23236336213573	7.09478500039931	0.24495
UBE3C	3.48697174437041	3.29788251180932	0.7153
REV3L	2.42852566483188	3.35721416329871	0.17705
TENM1	-0.075401434839172	-1.00790450051868	1
MASP2	0.551314210774919	1.09991457168854	1
FAM76A	2.14254414045046	3.21309371843675	0.0887
TRAF3IP3	7.46447223533783	7.18829211698543	0.7333
POMT2	2.80639417953345	2.89262611261723	1
VTA1	3.20682917463985	4.8623323603549	0.0627
BAZ1B	3.52988339950768	3.14508395347857	0.5385
RANBP9	4.65669657207207	3.57721127437068	0.26305
ETV7	2.72851265458951	2.44161626940656	1
SPRTN	1.96497152992183	1.17672488379826	1
EEF1AKNMT	3.86041659518248	3.81889145303248	0.95615
DYRK4	6.10009460959239	5.24684508620195	0.1887
ZNF207	7.06669198184066	6.17724012434162	0.2597
UQCRC1	7.14281163536879	6.52548322414853	0.44615
STARD3NL	3.93174923421359	3.51077207849273	0.60275
CD9	5.44116473412915	4.47091424609754	0.225
HHATL	5.175815984883	5.45311256689361	0.6142
NCAPD2	4.81232365380628	3.58808495853398	0.027
IFFO1	10.9222870624321	11.515911693926	0.8103
GIPR	0.839524295390729	-0.396714779600984	1
PHF7	2.60730427101946	2.47699596598208	1
SEMA3G	-0.692347655848734	-0.049695834738217	1
NISCH	5.58687880961466	5.47748953187733	0.8822
STAB1	4.48476973606149	4.33095272102442	0.8698
FUZ	4.69842408651736	3.63289634915943	0.13
SLC6A13	-0.881302732200565	-2.65528964979624	1
IDS	6.80552463032549	6.46415852925828	0.6076
ZNF200	3.567460265766	3.13033126922171	0.58815
CD4	6.98480578395144	6.63370001949996	0.6965
LRRC23	5.41890841738698	5.85986273316712	0.53135
BTK	6.05164617034192	6.87946072253802	0.23335
HFE	1.6628936355179	2.77844199650752	1
SCMH1	3.52181712213454	4.09713038009627	0.4448
FYN	7.65451430718633	7.67969121016225	0.97155
HIVEP2	3.11801080541331	2.76781791312478	0.50585
ELOA	3.45503125250357	3.4781564196102	0.9685
LYPLA2	5.60310702966491	5.60607203104947	0.99665
CLCN6	5.29838705166689	5.44764861879208	0.8291
MRC2	1.3573943551809	0.206943233350758	1
NME1-NME2	7.12484506325342	7.9609286673117	0.30535
TSPAN9	1.77040198737562	1.25308162540759	1
BTBD7	1.65770402195096	1.50474241255073	1
APBA3	4.39307978869284	5.30657212627448	0.26125
MKS1	3.2523853805282	2.9536358774089	0.62275
ABHD5	5.47284840014626	5.89631787091713	0.6286
ANOS1	-1.30565999987007	-4.13040587053348	1
AKAP8L	6.38162773676753	6.07588128312121	0.7122
MBTD1	2.93074301372893	2.19058009605473	0.228
UTP18	4.9395416038519	4.35229242649532	0.52695
RNF216	4.64284594962078	4.13725758886156	0.39125
TTC19	3.24723333421584	4.36990613502596	0.16335
PTBP1	7.98322735218193	7.1054476104071	0.34
LARS2	2.60741317385446	1.16985446796059	1
PIK3C2A	9.48375935791926	11.8888307514818	0.13885
PLAUR	5.17474995254099	5.44536585205898	0.6854
ANLN	1.31529377925538	1.7047214914825	1
WIZ	3.12289134260898	2.57142198010002	0.3093
RABGAP1	3.82377992555739	4.0019913475672	0.71535
QPCTL	2.09631920883056	1.57228821807577	1
PPP5C	5.27411253778378	3.01711484173668	0.00585
CEP68	2.3518261773166	2.82270975635107	0.67095
MAP4K3	2.72164826556101	1.84642912789598	1
ZBTB32	-0.523120649045681	2.20440368409607	1
TYROBP	9.18675061869495	9.6042511302819	0.692
TMEM159	3.61459206828422	3.83863919957782	0.757
BRCA1	3.85900544227535	4.04115535232079	0.65605
ERCC1	4.72435013375517	4.32353580372675	0.5035
CD22	6.85516748556588	7.19336765336315	0.62235
SEMA3B	-0.712492243742619	-1.91679071726488	1
MBTPS2	0.624100894628114	1.18323876569623	1
PRICKLE3	2.7613469802369	2.39188042610354	0.7191
LTF	8.00582662461878	6.04975926291914	0.0455
EXTL3	4.8143555900806	4.31826621956825	0.43425
ELOVL5	6.20676237579694	6.0173429327157	0.74155
ALOX5	7.75484074739991	7.72484805581193	0.9728
KDM5D	3.88820746518712	3.09737987952497	0.1741
CALCOCO1	6.0778860001807	5.97793471263314	0.87175
UBR7	5.03266070478463	4.75149050097049	0.65905
MAP4K5	3.82932189555331	3.59991284218713	0.7121
EHD3	1.65469216008671	1.24410767156856	1
PSMC4	5.83580536021947	4.57694533088711	0.0934
MAN2B2	4.35670725293538	3.5521188090109	0.16715
CLDN11	-1.71890595395791	-1.28690602006507	1
SLC25A39	11.587158683998	10.6558526774428	0.3056
MVP	7.50475544013377	7.47863211711005	0.96155
NUB1	7.35543919724869	7.11232481643825	0.7602
PGM3	2.30947599004089	4.19724421956714	0.0025
RWDD2A	-0.69463644301397	0.501974085191287	1
CLK1	7.11878537780735	7.76339829481536	0.48635
POLR3B	1.75854623563133	1.97254929629187	1
ANGEL1	3.81824726720342	4.36238572323981	0.5221
RNF14	6.02622906396977	5.82047768426503	0.7792
DNASE1L1	5.54769659131696	5.24854242605475	0.80435
DDX11	3.40143933232526	2.96893676211993	0.3012
HEBP1	4.39113530266807	3.16844628296079	0.30335
MAMLD1	-0.944559983078483	-2.20088616184738	1
CD6	5.65718837783682	5.12666317865534	0.35315
TACC3	6.19678996585136	6.19733662597491	0.9994
UFL1	2.83540873399496	2.6972133544296	0.8122
POLA2	4.75571547834614	3.93030209833084	0.16715
ZC3H3	2.19105723992631	2.36950836098316	1
CAPN1	6.26852422235141	5.77932539144874	0.444
ACP3	4.05393673902583	5.13003714321908	0.1762
MDH1	5.26404468994485	5.72925637031485	0.5172
SLC30A9	4.30442342609037	4.2737172860171	0.9794
MTMR11	3.58321819014675	4.21069277099588	0.3758
COX15	3.36675583194792	3.31880850322584	0.9552
CCDC88C	5.32022832053806	4.30067286942404	0.10145
YAF2	2.67170777636908	3.97844277073365	0.01185
ZMYND11	4.3561367657987	4.18173071005776	0.7696
WAS	8.17416170052478	7.21492133241877	0.2565
BID	6.53730538679615	5.2659731560601	0.1397
MATR3	6.69805174728359	7.04466733118408	0.62795
XYLT2	2.80049821840949	3.32623531696674	0.5081
RGPD5	0.095681419317333	-2.36108280937428	1
NUDCD3	5.79303229544842	5.65747423436825	0.87065
CHDH	-4.84407257829291	-5.05712506766956	1
GLT8D1	5.30648828118922	4.85754812168104	0.63315
ATP2C1	5.16320484984689	5.80655348850015	0.36915
IGF1	-2.93056728990693	1.99039219035649	1
SLC38A5	6.4507147393573	4.97649653353834	0.1588
RALBP1	4.98181156328887	4.75392538472809	0.70135
RUFY3	3.99753629914347	3.20488253715026	0.17685
SLC11A1	8.22885716185069	7.46023471389861	0.36985
WWTR1	-1.86684159045161	-5.51049652322304	1
AGPS	2.7559835339552	3.17146465728814	0.57145
CXorf56	3.44140379982117	5.21938152011291	0.0593
TTC27	3.54264189180108	3.93384642220372	0.59725
ZNF582	0.919187509135587	0.8336430562722	1
VSIG2	1.28399879298483	2.05835459747771	1
PHLDB1	-2.4185504070477	-4.63526532265902	1
MARCO	2.10304100775878	1.79673894354516	1
CYP24A1	-2.96300301670216	-3.96231022327862	1
PRDM11	0.731287529010595	0.96134179934842	1
CD74	10.484651733965	12.4153667878352	0.0776
HGF	1.21058212525263	1.88376937885725	1
ZRANB1	4.48150561657706	4.70100558751309	0.86795
NCDN	2.92808412458236	2.8538340083869	0.9507
ADGRA2	-1.48629905566697	-3.25497785096274	1
ZFP64	1.91171458812145	0.574760321623059	1
MNAT1	4.0663647834844	4.38692128221782	0.41005
SAMD4A	1.11593880598279	1.75529353695795	1
RUNX3	5.39161995160655	4.82018406929125	0.54065
MRE11	3.87223777364246	3.06691753328438	0.293
PLEKHB1	4.36304488836098	3.86686842461835	0.2426
SERPINB1	7.52374228166701	8.12881406484783	0.5061
SLC7A9	-0.514154851921501	-4.32677502691087	1
SPAST	4.37301476187603	4.67737856865312	0.6879
OSBPL5	3.94879705562626	2.08315889377948	0.00035
AQR	3.50503979343058	3.09695671651311	0.4984
CPS1	-3.16978362425567	-1.27928025579613	1
FHL1	4.04782627087785	3.87534758284479	0.65265
RTF2	6.43994887063013	6.8828142064169	0.51275
NLRP2	2.89421049125074	2.01229333739667	0.26155
SLC45A4	3.71901911505979	3.08203830626712	0.35885
RNF10	10.5247767582167	10.5327552656709	0.9913
ZNF839	3.02190962911534	1.65907969530102	0.13655
ZDHHC6	5.24152370147461	4.47814994645372	0.3372
GRAMD1B	3.11118826372817	2.12808219505974	0.0861
RNH1	6.70091129136304	5.35366910126561	0.0273
NDUFS1	4.15072213308599	4.58030229057982	0.52855
RB1CC1	4.22792586695535	5.24621804640558	0.20505
ERP44	3.74227574754027	4.40892919984287	0.32245
ALAS1	4.66911182756802	3.20525330434536	0.03855
BIRC3	5.35803047776732	5.2753982211662	0.91195
AKAP11	2.11827998012639	2.52610387674592	1
GLRX2	2.6813075751343	2.00096267768185	1
SNAPC1	6.3712417136276	5.50699856025917	0.18755
DERA	3.63210532137973	3.68755345030925	0.9311
STRAP	6.25336721565017	6.78711898281335	0.58445
ABCC2	0.93368593446994	0.416569549002425	1
DEF6	6.56421962193697	5.92798887045761	0.37265
PLEKHO1	7.66053791580456	7.59904250074446	0.95855
GCLM	2.02049864554856	3.56491465867283	0.10915
UBR2	4.50990482124978	4.63629979635186	0.82015
DEPDC1	-1.33837078178898	-3.29122476758588	1
CCDC28A	4.4750589349629	4.58737099215127	0.8478
RRAGD	2.85253225590593	3.14146548990236	0.7363
HSF2	2.82392866719282	3.51508163322079	0.39125
PHF20	4.20908679653889	4.47704908748083	0.60285
HSD17B6	0.205580188775248	-4.95905988933285	1
NR1H3	2.73971419365175	3.31391189220934	0.1878
TYMP	8.2869504353969	7.66372886935582	0.40595
NCAPH2	5.06799573283685	5.66204025260656	0.48155
TOMM34	2.30626515661742	0.809192157405352	1
SEC63	5.32627127637464	5.20066520541565	0.8652
KPNA6	3.93643064710925	3.23966229758585	0.27775
VIM	9.2842017857183	8.88475663801689	0.7624
RTEL1-TNFRSF6B	3.35614381022528	3.69263921225811	0.6437
FAS	5.17996082711629	5.62240329624248	0.48155
RNASET2	8.80726475079967	8.41413976226719	0.6778
CD44	8.5200528838894	8.44858301456329	0.9277
KCNG1	-0.106791581345838	-1.21699099628943	1
AGPAT4	2.0616241450669	1.68690386513838	1
SLAMF7	5.45028749141609	5.31468202613578	0.8227
BTN3A1	6.18954192107165	6.68924324103974	0.46235
MIPEP	1.4406864838672	0.173562415627577	1
PRKCH	7.73804495736829	6.89693781518231	0.30735
IFNGR1	6.37713937014137	7.35542157751431	0.2254
B4GALT7	3.78942670225573	1.95312366354284	0.0332
SH2D2A	3.12545769351027	2.25045836104193	0.15545
VRK2	3.36984333588894	3.42660022616992	0.95165
TNFRSF1B	7.1955936702396	6.83251030761145	0.59465
VEZT	4.11341713243193	4.13611754309069	0.9526
POU2F2	6.19591645295203	6.73327298333639	0.5638
BRD9	4.80969739875178	4.55329291382428	0.61715
SNX1	6.92541795224138	6.03382161486502	0.29965
TBPL1	4.95587072612297	5.24985108941091	0.69485
ARNTL2	-1.12971183159977	-1.16331638715368	1
BCLAF1	4.84627265751337	5.09067562257036	0.65105
SLC39A9	3.9467495720169	3.40675433692871	0.40615
ANK1	6.0075005166176	6.63335855063711	0.56855
TFB1M	3.52995833951398	3.69758479811243	0.82715
RABEP1	4.00400692603029	3.09166767987142	0.35315
HMGB3	-1.44324983056009	2.30528766852815	1
NUP160	3.97886372837622	3.89571946894733	0.88955
BAK1	4.05206804724388	3.28133771672961	0.1837
IKZF2	1.49567469871949	1.37510061422479	1
GRN	8.36552195235729	7.62816845775544	0.41415
FAM13B	4.06949595441242	3.70294561041331	0.4667
ARHGAP31	0.797660488409762	-0.081163470715526	1
CENPQ	-0.549577887085734	-0.269268757793603	1
SARS1	5.02887852053426	5.9082508964227	0.1212
RANBP3	5.5677157963124	5.61275057103777	0.9433
ARID4A	3.9541404630463	3.45564942731642	0.37235
EIPR1	3.96736230677855	3.57837118167259	0.5231
PNPLA6	6.80049873611228	6.84017365868484	0.9451
IFT88	1.51767883549196	1.00295449750751	1
ALG1	2.72662198928763	3.76634073311638	0.17155
ZCCHC8	3.84456643052814	4.10627293286667	0.6557
ABCF2	4.38188552354414	4.71925464235242	0.6857
CHPF2	4.04195258841275	4.64837915485833	0.38905
LRRC7	-1.30487206370366	-3.10032318774308	1
FUT8	3.41902644152612	3.32635038391721	0.8466
UBA6	3.91791861861162	3.96537796452601	0.954
GAB2	4.41024611592193	4.1686821455173	0.6867
ATP6V0A1	5.56874658493595	5.05776217252905	0.4814
PIAS1	5.77077091429192	5.93864101062714	0.8317
SLC4A7	1.92930623133534	2.98916989597421	0.0299
APBA2	4.47665386850208	3.78338331287888	0.318
MAP2K3	7.51658252909789	7.55204654884132	0.96
EFCAB1	-4.61571142206135	-2.45091245978873	1
TMSB10	8.01690854872284	7.52452604412884	0.7279
ASTE1	3.88783717108674	3.62432319060556	0.79155
RNF19A	5.11255001794131	5.47172398072414	0.49555
PEX3	4.10970322146902	3.82589753881843	0.6096
GABARAPL2	8.00750948667714	7.25912180605768	0.4875
SH3YL1	4.33255757049073	5.11681386535705	0.20685
FAM136A	3.71548707501235	3.68479630044188	0.96615
VCL	4.84310952298032	4.13430309545331	0.2776
DEPDC1B	-1.42898924033749	-1.56081731731899	1
DAPK2	5.07952745070172	5.21773091890633	0.86695
NSMAF	5.76045516576213	5.75164581403709	0.98935
ADSS2	5.89368498495088	4.71926011927384	0.15845
STAP1	3.15795400284465	1.83401942997796	0.1539
TIMP2	5.09289664754118	5.78320780205503	0.277
RFC1	5.2327758608453	4.25199170213171	0.05555
TBC1D23	3.91875831018332	4.24152751492506	0.5875
CUL3	5.92659725380008	5.80261975725348	0.8354
MYOM2	4.13555949452328	4.26338752233912	0.82255
CYP46A1	-5.74264752168511	-6.20943345657476	1
AC118549.1	3.30161983619428	2.71307109821565	0.2951
SLC18A1	-5.35205816390224	-4.10976967915977	1
USP2	-5.48867689534872	0.083247413747936	1
CASR	-5.98735981922123	-3.99998615019409	1
TUBG2	1.0611333207733	1.70048410807482	1
RPL26L1	1.01268308344301	-1.53043488978171	1
FLT4	1.0621078929236	0.102805920258963	1
NSUN2	4.88238872137931	4.49523465454731	0.52355
FBXO42	3.00759200860818	3.63273352595054	0.45865
MFAP3	4.82125611295815	4.48693957546376	0.5139
MRI1	3.0029508981441	2.00367418975075	0.28325
METTL1	3.48855356942897	2.62851698959417	0.12285
AGA	4.30839728289559	4.43437469131818	0.8602
PI4K2B	3.45773873797883	5.67764917862403	0.0272
BOD1L1	4.34631870129898	3.71104330546701	0.27635
MAT2B	7.10223819393074	7.80047932213062	0.34275
EDC4	6.44316071288666	6.30339719598299	0.86425
TRIO	3.58214649889645	4.43012466718796	0.0703
VCAN	6.63494460670028	6.23434228118608	0.6905
CLEC16A	2.90415457666319	2.22660100729603	0.1253
MSR1	1.79293445901262	1.26921272387275	1
CDH1	1.57782759123625	-3.15966648862646	1
MTREX	4.36562255611334	5.03052148014074	0.3419
ZFYVE16	3.8727598236539	4.02749911025138	0.8262
RIPOR1	5.96688954266064	4.97607030069574	0.1263
RAI14	-5.1450589889995	-5.99873559922048	1
SOX30	-4.2040469100277	-5.11762207877046	1
PNKP	6.16212139616141	5.91426552553617	0.65665
PHLPP2	0.764711326606369	0.191676343728392	1
SPDL1	3.15174843529609	2.50332583506447	0.1641
STAU2	5.06058786059564	4.77039564396756	0.528
SLC66A1	2.76533530120418	1.86175690551042	0.2168
CTNS	4.03679342606066	3.76364527638641	0.7468
RTN4R	0.662014039266652	-3.63218523406728	1
PHF23	5.11182841492499	5.28592371434314	0.7721
INPP4A	4.59656547894677	4.59981765092035	0.9953
RAB27B	1.72236984159557	0.635336494705166	1
PSMA4	6.08868437153339	6.68652854040719	0.41955
MYO16	-4.14477314003333	-6.09600169281431	1
LSG1	4.69313007284852	4.72843755444285	0.96175
PARP3	2.23486302195476	0.353266824498536	1
TNC	-5.41168050562136	-6.78015398018758	1
THAP3	3.49272486189178	1.75163081902196	0.05015
RIPOR3	0.830766424779929	1.31386691876815	1
TDP1	3.9819713511632	4.45960866580101	0.4692
AIFM2	1.21085015384137	-0.984345438301471	1
SPATA7	0.256648389880677	-0.809481217314353	1
MED17	5.7467749568144	5.43112816016901	0.6029
RETSAT	4.09369538023356	4.2419011841795	0.851
CAPG	8.80034341694352	5.68754505236732	0.0199
AP2S1	6.02919886781979	4.95103754118933	0.1998
TG	-0.8124171932322	0.845855320174768	1
ADAM28	4.16609678495383	4.84744076066044	0.401
DCUN1D1	4.99418596136123	6.10457778781652	0.3268
JADE2	4.60604537319323	3.66860705260414	0.20115
LCP2	6.54904378521301	5.67836492278422	0.22795
TRIT1	3.74110019861014	3.67711354719704	0.90675
ADRB1	-2.20990860773257	-5.04727401430761	1
CUL7	4.52676369268642	3.99903487494173	0.49855
CTNNA1	6.50759645419098	6.11446905953223	0.48385
PHKA2	4.82423832660371	4.50794682857124	0.6993
CNTLN	-0.614557918293418	0.957364895810222	1
HSPA5	5.54818382264788	5.48740273852914	0.91865
DSG2	-3.30111656817494	-3.14217502336517	1
GEMIN8	2.54212677712152	1.34173531688768	1
OFD1	5.15074649998483	3.63623018165194	0.0847
GPM6B	-0.055212004397672	1.39146529410138	1
PREX2	-5.93890456950905	-7.93459732016346	1
WDR37	4.03666157314549	3.62076233814442	0.45805
YTHDC2	3.55070369624789	4.24066541873663	0.29635
CTPS2	1.82152246881081	2.24335833193194	1
ATP6V1H	4.94916137137824	4.95758963072061	0.9887
